"abbrev","full_name","x","y"
"HI","Hawaii",0,0
"FL","Florida",152.4204711,0
"GA","Georgia",142.8941916,16.5
"TX","Texas",66.6839561,16.5
"NM","New Mexico",38.1051178,33
"OK","Oklahoma",57.1576766,33
"LA","Louisiana",76.2102355,33
"MS","Mississippi",95.2627944,33
"AL","Alabama",114.3153533,33
"SC","South Carolina",133.3679122,33
"NC","North Carolina",152.4204711,33
"DC","Washington DC",161.9467505,49.5
"VA","Virginia",142.8941916,49.5
"TN","Tennessee",123.8416327,49.5
"AR","Arkansas",104.7890739,49.5
"KS","Kansas",85.736515,49.5
"UT","Utah",66.6839561,49.5
"AZ","Arionza",47.6313972,49.5
"CA","California",28.5788383,49.5
"OR","Oregon",19.0525589,66
"NV","Nevada",38.1051178,66
"CO","Colorado",57.1576766,66
"NE","Nebraska",76.2102355,66
"MO","Missouri",95.2627944,66
"KY","Kentucky",114.3153533,66
"WV","West Virginia",133.3679122,66
"MD","Maryland",152.4204711,66
"DE","Delaware",171.4730299,66
"CT","Conneticut",200.0518683,82.5
"NJ","New Jersey",180.9993094,82.5
"PA","Pennsylvania",161.9467505,82.5
"OH","Ohio",142.8941916,82.5
"IN","Indiana",123.8416327,82.5
"IL","Illinois",104.7890739,82.5
"IA","Iowa",85.736515,82.5
"SD","South Dakota",66.6839561,82.5
"WY","Wyoming",47.6313972,82.5
"ID","Idaho",28.5788383,82.5
"WA","Washington",19.0525589,99
"MT","Montana",38.1051178,99
"ND","North Dakota",57.1576766,99
"MN","Minnesota",76.2102355,99
"WI","Wisconsin",95.2627944,99
"MI","Michigan",133.3679122,99
"NY","New York",171.4730299,99
"MA","Massachusetts",190.5255888,99
"RI","Rhode Island",209.5781477,99
"NH","New Hampshire",219.1044272,115.5
"VT","Vermont",200.0518683,115.5
"AK","Alaska",0,132
"ME","Maine",209.5781477,132
